codInd_2a_3b_with_buffer,codInd_all,identification,veg_pot_all,replacement_codInd,missing_codInd
305,305,Exists,RE2,,
307,307,Exists,RS2,,
308,308,Exists,MJ2,,
309,309,Exists,MS2,,
328,317,Unique,MA1,314,
314,311,Exists,RS1,,
315,314,Exists,MS2,,
316,315,Exists,RS2,,
318,316,Exists,MJ1,,
311,310,Unique,RE3,318,
346,320,Unique,RE3,318,
359,323,Unique,RC3,318,
375,360,Unique,MF1,375,
365,328,Exists,MJ2,,
367,339,Exists,MJ1,,
368,346,Exists,FE3,,
369,359,Exists,FE3,,
387,370,Unique,MF1,375,
376,365,Exists,MJ2,,
380,367,Exists,RS2,,
385,368,Exists,MJ1,,
386,369,Exists,FE3,,
437,389,Unique,MF1,375,
339,319,Unique,RP1,376,
445,393,Unique,RP1,376,
388,371,Unique,RC3,380,
414,375,Exists,MS2,,
415,376,Exists,RP1,,
421,380,Exists,RE2,,
432,385,Exists,MJ2,,
433,386,Exists,MJ1,,
434,387,Exists,MS2,,
435,388,Exists,RS2,,
390,372,Unique,RE3,380,
438,390,Exists,FE3,,
446,394,Unique,RE3,380,
449,400,Unique,FE6,414,
448,473,Unique,RS2,435,
465,397,Exists,RB1,,
453,416,Unique,NDI,439,
464,414,Exists,FE6,,
496,415,Exists,FE6,,
469,440,Unique,MF1,439,
497,421,Exists,FE2,,
498,441,Unique,NDI,439,
477,443,Unique,MA1,439,
478,432,Exists,MJ1,,
479,433,Exists,MJ2,,
480,434,Exists,FE3,,
484,435,Exists,RS2,,
485,468,Unique,MF1,439,
487,437,Exists,RS1,,
502,438,Exists,FE6,,
506,439,Exists,MS2,,
509,470,Unique,MA1,439,
513,482,Unique,NDI,439,
471,500,Unique,MF1,439,
483,528,Unique,MA1,439,
499,445,Exists,RB1,,
397,446,Exists,FE5,,
439,448,Exists,RP1,,
472,449,Exists,FE2,,
,450,Unique,RB1,445,
,425,Unique,RC3,453,
,453,Exists,RE2,,
,436,Unique,RC3,453,
,464,Exists,FE5,,
,465,Exists,FE2,,
,444,Unique,RE3,453,
,469,Exists,MJ2,,
,474,Unique,RC3,453,
,471,Exists,MJ1,,
,472,Exists,RB1,,
,475,Unique,RE3,453,
,507,Unique,RC3,453,
,508,Unique,RE3,453,
,493,Unique,RB1,472,
,477,Exists,FE2,,
,478,Exists,RS1,,
,479,Exists,RP1,,
,480,Exists,FE6,,
,505,Unique,RB1,472,
,373,Unique,RS1,478,
,483,Exists,FO1,,
,484,Exists,FC1,,
,485,Exists,FE5,,
,487,Exists,FE3,,
,391,Unique,RS1,478,
,501,Unique,RS1,478,
,451,Unique,FO1,483,
,496,Exists,FE1,,
,497,Exists,MJ1,,
,498,Exists,FE6,,
,499,Exists,RP1,,
,476,Unique,FO1,483,
,481,Unique,FO1,483,
,502,Exists,FE5,,
,428,Unique,FC1,484,
,462,Unique,FC1,484,
,488,Unique,FC1,484,
,506,Exists,FE2,,
,503,Unique,FC1,484,
,491,Unique,FE5,485,
,509,Exists,FO1,,
,513,Exists,MJ2,,
,504,Unique,FE1,496,
,522,Unique,FE1,496,
